,Day,High_temp,Low_temp,Condition,Precipitation,Month
0,1,83°,64°,Mostly Cloudy,0 in,4
1,2,84°,67°,Mostly Cloudy,0 in,4
2,3,82°,64°,Thunderstorms,0 in,4
3,4,70°,52°,Partly Sunny,0 in,4
4,5,76°,61°,Mostly Cloudy,0 in,4
5,6,85°,69°,Rain,0.01 in,4
6,7,75°,43°,Cloudy,0 in,4
7,8,70°,43°,Partly Sunny,0 in,4
8,9,67°,53°,Rain,0 in,4
9,10,76°,55°,Partly Cloudy,0 in,4
10,11,81°,49°,Mostly Sunny,0 in,4
11,12,87°,62°,Partly Sunny,0 in,4
12,13,87°,69°,Thunderstorms,0 in,4
13,14,72°,50°,Partly Cloudy,0 in,4
14,15,76°,41°,Clear,0 in,4
15,16,83°,47°,Clear,0 in,4
16,17,85°,59°,Mostly Sunny,0 in,4
17,18,84°,64°,Partly Sunny,0 in,4
18,19,77°,60°,Partly Cloudy,0 in,4
19,20,64°,58°,Cloudy,0 in,4
20,21,79°,62°,Rain,0.01 in,4
21,22,80°,53°,Mostly Sunny,0 in,4
22,23,83°,54°,Mostly Sunny,0 in,4
23,24,86°,56°,Partly Cloudy,0 in,4
24,25,85°,57°,Thunderstorms,0.34 in,4
25,26,76°,56°,Partly Sunny,0 in,4
26,27,78°,57°,Cloudy,0 in,4
27,28,83°,58°,Partly Cloudy,0 in,4
28,29,81°,58°,Partly Sunny,0 in,4
29,30,77°,65°,Cloudy,0 in,4
0,1,84°,70°,Rain,0 in,5
1,2,87°,72°,Rain,0 in,5
2,3,90°,74°,Rain,0 in,5
3,4,75°,63°,Thunderstorms,0.76 in,5
4,5,85°,63°,Partly Cloudy,0 in,5
5,6,90°,56°,Mostly Sunny,0 in,5
6,7,90°,58°,Partly Cloudy,0 in,5
7,8,89°,64°,Partly Cloudy,0 in,5
8,9,88°,65°,Partly Cloudy,0 in,5
9,10,89°,68°,Partly Cloudy,0 in,5
10,11,90°,70°,Partly Cloudy,0 in,5
11,12,93°,70°,Partly Sunny,0 in,5
12,13,92°,74°,Mostly Cloudy,0 in,5
13,14,91°,75°,Mostly Cloudy,0 in,5
14,15,91°,72°,Thunderstorms,0.01 in,5
15,16,94°,66°,Partly Cloudy,0 in,5
16,17,96°,68°,Partly Cloudy,0 in,5
17,18,98°,69°,Partly Cloudy,0 in,5
18,19,95°,72°,Mostly Cloudy,0 in,5
19,20,87°,69°,Thunderstorms,0.2 in,5
20,21,89°,67°,Partly Sunny,0 in,5
21,22,92°,70°,Rain,0 in,5
22,23,92°,72°,Partly Sunny,0 in,5
23,24,93°,72°,Partly Sunny,0 in,5
24,25,94°,74°,Partly Cloudy,0 in,5
25,26,98°,72°,Mostly Sunny,0 in,5
26,27,97°,72°,Mostly Sunny,0 in,5
27,28,97°,72°,Mostly Sunny,0 in,5
28,29,97°,73°,Mostly Sunny,0 in,5
29,30,98°,72°,Mostly Sunny,0 in,5
30,31,99°,75°,Partly Cloudy,0 in,5
0,1,100°,76°,Partly Sunny,0 in,6
1,2,101°,77°,Partly Cloudy,0 in,6
2,3,99°,76°,Partly Cloudy,0 in,6
3,4,95°,74°,Partly Sunny,0 in,6
4,5,100°,74°,Partly Cloudy,0 in,6
5,6,101°,76°,Partly Cloudy,0 in,6
6,7,99°,77°,Partly Cloudy,0 in,6
7,8,98°,76°,Partly Sunny,0 in,6
8,9,97°,76°,Partly Sunny,0 in,6
9,10,99°,78°,Partly Sunny,0 in,6
10,11,98°,78°,Partly Sunny,0 in,6
11,12,98°,77°,Partly Sunny,0 in,6
12,13,96°,78°,Rain,0 in,6
13,14,97°,75°,Partly Cloudy,0 in,6
14,15,96°,75°,Rain,0.36 in,6
15,16,95°,76°,Partly Sunny,0 in,6
16,17,96°,74°,Partly Sunny,0 in,6
17,18,94°,75°,Rain,0.22 in,6
18,19,80°,73°,Rain,0.12 in,6
19,20,86°,74°,Rain,0 in,6
20,21,93°,73°,Partly Sunny,0 in,6
21,22,98°,76°,Partly Sunny,0 in,6
22,23,99°,75°,Partly Cloudy,0 in,6
23,24,99°,77°,Partly Sunny,0 in,6
24,25,94°,77°,Partly Sunny,0.01 in,6
25,26,98°,78°,Rain,0 in,6
26,27,100°,76°,Partly Cloudy,0 in,6
27,28,98°,76°,Partly Cloudy,0 in,6
28,29,99°,77°,Clear,0 in,6
